Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.795249334065263,-1.21453296357535,0.959631453694308,0,0,0,159.119312658077,14.7845129371974,1.40946282423116E-15,5.9448140263073E-16,42.1012515488993,3.601201036036E-15,51.4517328211401,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LRB,0,0.115704485409189,0,0,0,0,4.96179871695205,0.0253295765787538,1.15929159647691E-20,0,0.0328281290053756,-3.1533310406393E-19,0.0249674475382577,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LRB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LRB.STL,,Link 1-2,Origin_LRB,Axis_LRB,LRB,revolute,1.19524933406526,-1.21453296357535,0.97119302642155,1.5707963267949,0,1.81304092939274,base_link,0,1,0,0,0,0,0,,,,,,,,
LL1,-2.11035632758927E-05,0.302854628282347,1.11022302462516E-15,0,0,0,8.6006754009544,0.316013338756673,-5.49695982633512E-05,-6.93889390390723E-18,0.0181452865087672,-1.07813064031959E-15,0.314636386261611,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LL1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LL1.STL,,Link 2-2,Origin_LL1,Axis_LL1,LL1,revolute,0,0.225,0,-1.5708,1.5708,-1.2092,LRB,1,0,0,0,0,0,0,,,,,,,,
LL2,3.09748954809841E-05,0.304140676103826,3.5527136788005E-15,0,0,0,6.52663293786977,0.142302843492666,4.08331181633707E-06,1.06251812903579E-17,0.0161979601847754,-1.46258873068295E-15,0.143073786637525,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LL2.STL,,Link 3-1,Origin_LL2,Axis_LL2,LL2,revolute,0,0.60596,0,1.3038,0,-3.1416,LL1,1,0,0,0,0,0,0,,,,,,,,
LEE,0,-0.00783307073735928,-0.00940470190435083,0,0,0,1.64176902290727,0.00697543022331686,2.53161207275365E-17,5.77337656848531E-18,0.00293510312538361,-0.000973014959238163,0.0068587359514973,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LEE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LEE.STL,,Left End Effector-2,Origin_LEE2,,LEE,fixed,0,0.59298,0,3.1416,0,0,LL2,0,0,0,,,,,,,,,,,,
RRB,-2.22044604925031E-16,0.115704485409189,5.55111512312578E-17,0,0,0,4.96179871695205,0.0253295765787538,2.02885658936983E-18,4.33680868994202E-18,0.0328281290053756,7.16172762528978E-20,0.0249674475382577,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/RRB.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/RRB.STL,,Link 1-1,Origin_RRB,Axis_RRB,RRB,revolute,0.39525,-1.2145,0.97119,1.5708,0,2.1944,base_link,0,1,0,0,0,0,0,,,,,,,,
RL1,0.0499788964367285,0.302571427005066,0.0130941755050991,0,0,0,8.6006754009544,0.316013338756673,-5.49181958495587E-05,-2.37665698310519E-06,0.0186995286529461,-0.0128070558093028,0.314082144117432,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/RL1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/RL1.STL,,Link 2-1,Origin_RL1,Axis_RL1,RL1,revolute,0,0.225,0.05,1.2978,1.5708,0.96851,RRB,1,0,0,0,0,0,0,,,,,,,,
RL2,-0.0499690251045432,0.329861167352755,0.0050174769430662,0,0,0,6.52663293786975,0.142302843492665,4.08331182574729E-06,1.73472347597681E-17,0.0161979601847753,1.05167610731094E-15,0.143073786637524,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/RL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/RL2.STL,,Link 3-2,Origin_RL2,Axis_RL2,RL2,revolute,0,0.60596,0,1.3565,0,3.1416,RL1,1,0,0,0,0,0,0,,,,,,,,
REE,-5.55111512312578E-16,0.0161183788851191,-0.00501747694306887,0,0,0,0.627722951444727,0.000943209835149829,-2.43945488809238E-19,9.89334482393023E-19,0.000957754908612675,1.43656787854329E-18,0.0013552611629626,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/REE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/REE.STL,,Right End Effector-2,Origin_REE,,REE,fixed,-0.05,0.60298,0,3.1416,0,0,RL2,0,0,0,,,,,,,,,,,,
LGC,-0.0352673887801307,-0.00501747694306931,0.0812819725890273,0,0,0,0.39557211032727,0.00076615284247255,7.55553388950836E-19,0.000156343609568062,0.000736606264168439,-1.97866896478605E-18,0.000269424306077304,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LGC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/LGC.STL,,Gripper Claw-5,Origin_LCG2,Axis_LCG,LCG,revolute,0.064,-0.01372,0,1.5708,0,0.49145,REE,0,-1,0,0,0,0,0,,,,,,,,
